timestamp_utc,downtime_flag,ProcessRisk,Dominant_Subsystem,Fusion_Confidence,Severity_Label,SYS_1__Contribution,SYS_2__Contribution,SYS_3__Contribution,SYS_4__Contribution,SYS_5__Contribution,SYS_6__Contribution,STANDALONE__Contribution
2026-02-10 20:42:00+00:00,0,0.1311511667419762,STANDALONE,0.7333333333333333,Normal,0.0069010005235138104,0.08117250199657937,0.004461983263341906,0.14891409888609777,0.1363551034612734,0.09326554116936579,0.20217242795348403
2026-02-10 20:43:00+00:00,0,0.1602930683127836,STANDALONE,0.7276190476190475,Normal,0.005254622737813622,0.06303971607803435,0.005544807347557131,0.16401396340580868,0.18107121710986543,0.12742597568144137,0.2700757271821879
2026-02-10 20:44:00+00:00,0,0.14696656832351918,STANDALONE,0.7276190476190475,Normal,0.009067221614306066,0.07587020828981321,0.004940266809847566,0.15653548054121627,0.18107121710986543,0.12449640821659053,0.19656892021581748
2026-02-10 20:45:00+00:00,0,0.15647140964623504,STANDALONE,0.68,Normal,7.519865126059612e-05,0.05938146496979287,0.0030815781394192368,0.12294468269805756,0.18107121710986543,0.13318686474033264,0.24506290517206453
2026-02-10 20:46:00+00:00,0,0.15470981704172176,STANDALONE,0.6895238095238095,Normal,0.0017292817471359773,0.05076657235464774,0.0032418729803072146,0.12895188827181378,0.18107121710986543,0.12432336579542963,0.2566485202092755
2026-02-10 20:47:00+00:00,0,0.15289770949376932,STANDALONE,0.718095238095238,Normal,0.005254622737813622,0.06626437704604765,0.007352832186363435,0.11741308261251726,0.18107121710986543,0.13993882425655454,0.25127086530182885
2026-02-10 20:48:00+00:00,0,0.13697128752980428,STANDALONE,0.718095238095238,Normal,0.010758437448043183,0.08801947927145247,0.006339798185315636,0.12200630787378079,0.18107121710986543,0.08860383798439267,0.19170992881334548
2026-02-10 20:49:00+00:00,0,0.1444658224600999,STANDALONE,0.7238095238095238,Normal,0.004688730447046829,0.07806869552940614,0.004666688041307856,0.14895543131568592,0.1920452302680391,0.10199981335033527,0.20153557962400995
2026-02-10 20:50:00+00:00,0,0.1446050410280109,STANDALONE,0.7238095238095238,Normal,0.00454439410295751,0.09441148168877359,0.006108174515273009,0.12999706471559527,0.1920452302680391,0.10452966365253949,0.20102953371146093
2026-02-10 20:51:00+00:00,0,0.14176128278712435,SYS_5,0.7142857142857143,Normal,0.008348275640805194,0.08775254153086974,0.004685478659781237,0.1253369040147619,0.1920452302680391,0.11571721885743184,0.17492076638154566
2026-02-10 20:52:00+00:00,0,0.14677911368860364,STANDALONE,0.7142857142857143,Normal,0.005358855327494428,0.08255397058743451,0.0047477238223511365,0.13095551347809425,0.1920452302680391,0.12136262169501037,0.19687165473238555
2026-02-10 20:53:00+00:00,0,0.15289384743286638,STANDALONE,0.7142857142857143,Normal,0.004087879666053173,0.07632474184076245,0.005631000448092915,0.12736239950666442,0.1920452302680391,0.15852877160051754,0.20048921536314082
2026-02-10 20:54:00+00:00,0,0.16198356675850342,STANDALONE,0.6857142857142858,Normal,0.008029836542785032,0.020570881823809402,0.001631386612929634,0.13045817406606347,0.18391327564376664,0.1415430117567533,0.29137455561454473
2026-02-10 20:55:00+00:00,0,0.16823029242602075,STANDALONE,0.6848214285714287,Normal,0.030431288722061214,0.04541747259611199,0.002394540101222005,0.1402328320507823,0.1695907217582402,0.14397123722216298,0.2744158735489594
2026-02-10 20:56:00+00:00,0,0.14761188802870895,STANDALONE,0.7142857142857143,Normal,0.00454439410295751,0.05387630386278533,0.005413358558946471,0.09939160624828641,0.1695907217582402,0.13655280410564186,0.26869025298280586
2026-02-10 20:57:00+00:00,0,0.15441944631710078,STANDALONE,0.6857142857142858,Normal,0.014101958072918771,0.03981095868028253,0.0037860425127832008,0.10277518674534497,0.19116991927333948,0.12824968842199905,0.2613195901596102
2026-02-10 20:58:00+00:00,0,0.15369707470716143,STANDALONE,0.7142857142857143,Normal,0.003659167549884772,0.08573027886208746,0.0041394260123629135,0.13205676671747743,0.18030798503333703,0.1321336735579004,0.23045807733972792
2026-02-10 20:59:00+00:00,0,0.15254027906236395,STANDALONE,0.7142857142857143,Normal,0.006671890356168711,0.06335771811808626,0.006527543554414681,0.10041391110994792,0.18030798503333703,0.14765813621818558,0.2577642124470824
2026-02-10 21:00:00+00:00,0,0.12935881433934124,STANDALONE,0.6857142857142858,Normal,0.03057972385711375,0.01987295868839039,0.0012555780349239533,0.05656486607857394,0.07037891390156427,0.13096304137766265,0.31130722818419715
