timestamp_utc,downtime_flag,ProcessRisk,Significance,Significance_MuHist,Significance_SigHist,Fusion_Confidence,Total_Weight,Severity_Label,Source_SYS_1__Score,Source_SYS_1__Weight,Source_SYS_2__Score,Source_SYS_2__Weight,Source_SYS_3__Score,Source_SYS_3__Weight,Source_SYS_4__Score,Source_SYS_4__Weight,Source_STANDALONE__Score,Source_STANDALONE__Weight
2026-02-05 04:27:00+00:00,0,0.09338660584321554,-0.4743117047776103,0.1138584068662935,0.043161070698595864,0.76,3.8,Normal,0.07505917499810082,0.7000000000000001,0.0055129175481278625,0.7,0.05278938469595751,0.7,0.05689952610183801,0.7000000000000001,0.22168640079726815,1.0
2026-02-05 04:28:00+00:00,0,0.0901851963969629,-0.5480076079679194,0.11384030728566519,0.04316566147031861,0.76,3.8,Normal,0.05218537277986442,0.7000000000000001,0.008456236913636301,0.7,0.05278938469595751,0.7,0.08747041240642378,0.7000000000000001,0.20207276245319358,1.0
2026-02-05 04:29:00+00:00,0,0.09078464287032571,-0.5339602726464643,0.11383471491858539,0.04316814045737286,0.76,3.8,Normal,0.06507684749984019,0.7000000000000001,0.010868113047134158,0.7,0.05278938469595751,0.7,0.08330499978169206,0.7000000000000001,0.19655410229784737,1.0
2026-02-05 04:30:00+00:00,0,0.06840798950119305,-1.0509002024501044,0.11378737749854352,0.04318144376749707,0.76,3.8,Normal,0.056301284288859436,0.7000000000000001,0.0070724688768525265,0.7,0.045972868395935736,0.7,0.09683215341133848,0.7000000000000001,0.11562521830752309,1.0
2026-02-05 04:31:00+00:00,0,0.10033252570327435,-0.31105206840248223,0.11376364925383929,0.04317966319769299,0.76,3.8,Normal,0.06727642410754765,0.7000000000000001,0.007011617009589148,0.7,0.06016150313388568,0.7,0.08082952262703429,0.7000000000000001,0.23056825186112803,1.0
2026-02-05 04:32:00+00:00,0,0.15450649310641126,0.9423007674976553,0.11381006378983856,0.043188364819700696,0.6012820512820513,3.0064102564102564,Normal,0.08887716388488541,0.6833333333333335,0.008389753027770544,0.5,0.06016150313388568,0.2,0.08297251884630392,0.7000000000000001,0.35692500795728116,0.9230769230769231
2026-02-05 04:33:00+00:00,0,0.08947677199191145,-0.563627955893652,0.11381651094522445,0.04318405199529446,0.76,3.8,Normal,0.05934197349209875,0.7000000000000001,0.008375050465498907,0.7,0.046551404409585474,0.7,0.1397038201551448,0.7000000000000001,0.1622311604984016,1.0
2026-02-05 04:34:00+00:00,0,0.16892727407194583,1.2742601091984012,0.11387871770157121,0.04320040780763671,0.64,3.2,Mild,0.08751683779482225,0.5,0.007543240647106504,0.5,0.07982049467924546,0.5,0.08872625703372448,0.7000000000000001,0.3910186122353051,1.0
2026-02-05 04:35:00+00:00,0,0.10653819045622209,-0.16997928882778093,0.11388127310440345,0.043199866870964485,0.72,3.6,Normal,0.09559013906483621,0.7000000000000001,0.00651100007715288,0.7,0.02369892323648212,0.5,0.04147940031405039,0.7000000000000001,0.2711816474703127,1.0
2026-02-05 04:36:00+00:00,0,0.15019166595918657,0.8410493680015345,0.1138690947797603,0.043187204653318274,0.72,3.6,Normal,0.12249893551952554,0.7000000000000001,0.010604971745598067,0.7,0.05391021258496488,0.5,0.05599781558323078,0.7000000000000001,0.38136368666865766,1.0
