timestamp_utc,DESF_TA__KVAR_A,DESF_TA__KVAR_B,DESF_TA__KVAR_C,DESF_TA__KVAR_TOT
2026-02-01 02:18:00+00:00,823.5125,809.14996,8073.5835,2438.4128
2026-02-01 02:19:00+00:00,834.725,819.625,8180.731,2472.4155
2026-02-01 02:20:00+00:00,822.476,808.236,8066.94,2437.422
2026-02-01 02:21:00+00:00,833.11176,817.7863,8158.9214,2466.7883
2026-02-01 02:22:00+00:00,854.0725,837.34705,8351.51,2526.6235
2026-02-01 02:23:00+00:00,814.6521,800.66254,8001.271,2415.45
2026-02-01 02:24:00+00:00,859.0795,842.36816,8397.296,2541.1794
2026-02-01 02:25:00+00:00,826.61,811.806,8098.9,2448.296
2026-02-01 02:26:00+00:00,809.2275,795.428,7948.4116,2399.6626
2026-02-01 02:27:00+00:00,840.69775,824.9778,8225.244,2488.2021
2026-02-01 02:28:00+00:00,857.91,841.364,8397.4375,2536.674
2026-02-01 02:29:00+00:00,816.5935,803.1087,8012.0435,2420.9043
2026-02-01 02:30:00+00:00,890.3411,873.002,8683.961,2631.7273
2026-02-01 02:31:00+00:00,865.01044,849.3468,8455.083,2559.1667
2026-02-01 02:32:00+00:00,810.76935,797.65515,7958.2856,2404.2327
2026-02-01 02:33:00+00:00,831.44604,817.276,8144.12,2463.136
2026-02-01 02:34:00+00:00,862.6058,846.6943,8426.77,2551.9692
2026-02-01 02:35:00+00:00,843.0308,828.5423,8253.827,2496.9326
2026-02-01 02:36:00+00:00,832.7059,818.22205,8155.1177,2466.3215
2026-02-01 02:37:00+00:00,878.93,861.86206,8577.62,2598.552
2026-02-01 02:38:00+00:00,856.5959,841.575,8384.9795,2536.6917
2026-02-01 02:39:00+00:00,801.4385,789.9173,7894.2114,2380.7886
2026-02-01 02:40:00+00:00,859.386,843.914,8415.24,2544.834
2026-02-01 02:41:00+00:00,849.0157,833.2679,8309.208,2513.4539
2026-02-01 02:42:00+00:00,821.3077,807.83075,8063.686,2435.275
2026-02-01 02:43:00+00:00,812.88824,800.7,7989.2354,2412.5254
2026-02-01 02:44:00+00:00,799.71155,788.82495,7877.5576,2376.2886
2026-02-01 02:45:00+00:00,835.1647,821.41174,8191.039,2475.6882
2026-02-01 02:46:00+00:00,838.3059,824.55963,8223.635,2485.373
2026-02-01 02:47:00+00:00,837.87396,824.372,8218.674,2483.954
2026-02-01 02:48:00+00:00,824.1116,811.3269,8092.519,2444.702
